Empresa,Classe,Codigo_old,,Setor,Segmento,Codigo
Gerdau,PN,GGBR4,.SA,Materiais basicos,Siderurgia,GGBR4.SA
Gerdau Met,ON,GOAU3,.SA,Materiais basicos,Siderurgia,GOAU3.SA
Gerdau Met,PN,GOAU4,.SA,Materiais basicos,Siderurgia,GOAU4.SA
Gol,PN,GOLL4,.SA,Bens industriais,Transporte a‚reo,GOLL4.SA
GP Invest,A,GPIV33,.SA,Financeiro,Gesto de recursos e investimentos,GPIV33.SA
GPC Part,ON,GPCP3,.SA,Materiais basicos,Petroquimicos,GPCP3.SA
GPC Part,PN,GPCP4,.SA,Materiais basicos,Petroquimicos,GPCP4.SA
Grazziotin,ON,CGRA3,.SA,Consumo ciclico,Tecidos vestuario e calados,CGRA3.SA
Grazziotin,PN,CGRA4,.SA,Consumo ciclico,Tecidos vestuario e calados,CGRA4.SA
Grendene,ON,GRND3,.SA,Consumo ciclico,Calados,GRND3.SA
Grupo Natura,ON,NTCO3,.SA,Consumo no ciclico,Produtos de uso pessoal,NTCO3.SA
Guararapes,ON,GUAR3,.SA,Consumo ciclico,Tecidos vestuario e calados,GUAR3.SA
Habitasul,ON,HBTS3,.SA,Financeiro,Holdings diversificadas,HBTS3.SA
Habitasul,PNA,HBTS5,.SA,Financeiro,Holdings diversificadas,HBTS5.SA
Habitasul,PNB,HBTS6,.SA,Financeiro,Holdings diversificadas,HBTS6.SA
Haga S/A,ON,HAGA3,.SA,Bens industriais,Produtos para construo,HAGA3.SA
Haga S/A,PN,HAGA4,.SA,Bens industriais,Produtos para construo,HAGA4.SA
Hapvida,ON,HAPV3,.SA,Saude,Servios medicohospitalares an lises e diagnsticos,HAPV3.SA
Helbor,ON,HBOR3,.SA,Consumo ciclico,Incorporaes,HBOR3.SA
Hercules,ON,HETA3,.SA,Consumo ciclico,Utensilios dom‚sticos,HETA3.SA
Hercules,PN,HETA4,.SA,Consumo ciclico,Utensilios dom‚sticos,HETA4.SA
Hoteis Othon,ON,HOOT3,.SA,Consumo ciclico,Hotelaria,HOOT3.SA
Hoteis Othon,PN,HOOT4,.SA,Consumo ciclico,Hotelaria,HOOT4.SA
Hypera,ON,HYPE3,.SA,Saude,Medicamentos e outros produtos,HYPE3.SA
Ideiasnet,ON,IDNT3,.SA,Tecnologia da informao,Programas e servios,IDNT3.SA
IGB S/A,ON,IGBR3,.SA,Consumo ciclico,Eletrodom‚sticos,IGBR3.SA
Igua SA,ON,IGSN3,.SA,Utilidade pblica,gua e saneamento,IGSN3.SA
Iguatemi,ON,IGTA3,.SA,Financeiro,Explorao de imveis,IGTA3.SA
Ihpardini,ON,PARD3,.SA,Saude,Servios medicohospitalares an lises e diagnsticos,PARD3.SA
Imc S/A,ON,MEAL3,.SA,Consumo ciclico,Restaurante e similares,MEAL3.SA
Ind Cataguas,ON,CATA3,.SA,Consumo ciclico,Fios e tecidos,CATA3.SA
Ind Cataguas,PN,CATA4,.SA,Consumo ciclico,Fios e tecidos,CATA4.SA
Inds Romi,ON,ROMI3,.SA,Bens industriais,M q. e equip. industriais,ROMI3.SA
Indusval,ON,IDVL3,.SA,Financeiro,Bancos,IDVL3.SA
Indusval,PN,IDVL4,.SA,Financeiro,Bancos,IDVL4.SA
Inepar,ON,INEP3,.SA,Bens industriais,M q. e equip. industriais,INEP3.SA
Inepar,PN,INEP4,.SA,Bens industriais,M q. e equip. industriais,INEP4.SA
Inter SA,ON,INNT3,.SA,Consumo ciclico,Incorporaes,INNT3.SA
Intermedica,ON,GNDI3,.SA,Saude,Servios medicohospitalares an lises e diagnsticos,GNDI3.SA
Invepar,ON,IVPR3B,.SA,Bens industriais,Explorao de rodovias,IVPR3B.SA
Invepar,PN,IVPR4B,.SA,Bens industriais,Explorao de rodovias,IVPR4B.SA
Invest Bemge,ON,FIGE3,.SA,Financeiro,Outros,FIGE3.SA
Invest Bemge,PN,FIGE4,.SA,Financeiro,Outros,FIGE4.SA
IochpMaxion,ON,MYPK3,.SA,Consumo ciclico,Automveis e motocicletas,MYPK3.SA
Irbbrasil Re,ON,IRBR3,.SA,Financeiro,Seguradoras,IRBR3.SA
Itausa,ON,ITSA3,.SA,Financeiro,Bancos,ITSA3.SA
Itausa,PN,ITSA4,.SA,Financeiro,Bancos,ITSA4.SA
ItauUnibanco,ON,ITUB3,.SA,Financeiro,Bancos,ITUB3.SA
ItauUnibanco,PN,ITUB4,.SA,Financeiro,Bancos,ITUB4.SA
J B Duarte,ON,JBDU3,.SA,Financeiro,Holdings diversificadas,JBDU3.SA
J B Duarte,PN,JBDU4,.SA,Financeiro,Holdings diversificadas,JBDU4.SA
JBS,ON,JBSS3,.SA,Consumo no ciclico,Carnes e derivados,JBSS3.SA
Jereissati,ON,JPSA3,.SA,Financeiro,Explorao de imveis,JPSA3.SA
Jereissati,PN,JPSA4,.SA,Financeiro,Explorao de imveis,JPSA4.SA
JHSF Part,ON,JHSF3,.SA,Consumo ciclico,Incorporaes,JHSF3.SA
Joao Fortes,ON,JFEN3,.SA,Consumo ciclico,Incorporaes,JFEN3.SA
Josapar,ON,JOPA3,.SA,Consumo no ciclico,Alimentos diversos,JOPA3.SA
Josapar,PN,JOPA4,.SA,Consumo no ciclico,Alimentos diversos,JOPA4.SA
JSL,ON,JSLG3,.SA,Bens industriais,Transporte rodoviario,JSLG3.SA
Karsten,ON,CTKA3,.SA,Consumo ciclico,Fios e tecidos,CTKA3.SA
Karsten,PN,CTKA4,.SA,Consumo ciclico,Fios e tecidos,CTKA4.SA
Kepler Weber,ON,KEPL3,.SA,Bens industriais,M q. e equip. industriais,KEPL3.SA
Klabin S/A,ON,KLBN3,.SA,Materiais basicos,Papel e celulose,KLBN3.SA
Klabin S/A,PN,KLBN4,.SA,Materiais basicos,Papel e celulose,KLBN4.SA
Klabin S/A,UNT N2,KLBN11,.SA,Materiais basicos,Papel e celulose,KLBN11.SA
Le Lis Blanc,ON,LLIS3,.SA,Consumo ciclico,Tecidos vestuario e calados,LLIS3.SA
Lifemed,ON,LMED3,.SA,,,
Light S/A,ON,LIGT3,.SA,Utilidade pblica,Energia eletrica,
